account_id,district_id,frequency,Creation_Date
1,18,Monthly,24/03/1995
2,1,Monthly,26/02/1993
3,5,Monthly,07/07/1997
4,12,Monthly,21/02/1996
5,15,Monthly,30/05/1997
6,51,Monthly,27/09/1994
7,60,Monthly,24/11/1996
8,57,Monthly,21/09/1995
9,70,Monthly,27/01/1993
10,54,Monthly,28/08/1996
11,76,Monthly,10/10/1995
12,21,Monthly,15/04/1997
13,76,Monthly,17/08/1997
14,47,Monthly,27/11/1996
15,70,Monthly,02/10/1993
16,12,Monthly,23/09/1997
17,1,Monthly,08/01/1997
18,43,Weekly,26/05/1993
19,21,Monthly,07/04/1995
20,74,Monthly,24/08/1996
21,54,Monthly,06/12/1997
22,1,Monthly,23/03/1994
23,30,Monthly,22/05/1993
24,74,Monthly,05/12/1996
25,68,Monthly,28/07/1996
26,52,Monthly,08/08/1993
27,73,Monthly,26/09/1993
29,7,Monthly,24/11/1994
30,36,Monthly,04/03/1995
31,68,Monthly,27/04/1994
32,5,Monthly,28/08/1995
33,22,Monthly,26/08/1993
34,67,Weekly,17/09/1993
35,75,Monthly,07/07/1993
36,1,Monthly,01/07/1993
37,20,Monthly,18/08/1997
38,19,Weekly,08/08/1997
39,36,Monthly,22/09/1993
40,64,Monthly,25/10/1993
41,72,Monthly,02/08/1997
42,39,Monthly,16/08/1996
43,36,Monthly,12/06/1994
44,32,Monthly,10/05/1993
45,64,Monthly,02/09/1997
47,45,Monthly,08/08/1993
48,21,Monthly,17/11/1996
49,1,Monthly,06/04/1997
50,1,Monthly,06/05/1994
51,67,Monthly,11/05/1996
52,16,Monthly,29/01/1997
53,77,Monthly,07/06/1995
54,4,Monthly,02/05/1995
55,20,Monthly,19/02/1996
56,50,Monthly,16/05/1994
57,1,Monthly,21/05/1995
58,29,Monthly,23/08/1996
59,43,Monthly,27/03/1994
61,70,Monthly,11/12/1993
62,47,Monthly,28/03/1993
63,22,Monthly,16/11/1996
64,64,Monthly,11/03/1997
65,36,Monthly,29/10/1996
66,48,"After Transaction",03/12/1993
67,16,Monthly,19/10/1994
68,37,"After Transaction",20/12/1994
69,64,Monthly,12/01/1996
70,8,Monthly,18/02/1995
71,1,Monthly,05/03/1994
72,1,Weekly,20/06/1996
73,72,Monthly,08/11/1993
75,1,Monthly,13/08/1995
76,52,Monthly,16/05/1996
77,63,Monthly,19/11/1996
78,74,Monthly,07/07/1993
79,3,Monthly,29/11/1996
80,43,Monthly,27/09/1995
81,74,Monthly,18/07/1996
82,26,Monthly,03/05/1994
83,26,Monthly,16/04/1993
84,44,"After Transaction",25/12/1995
85,68,Monthly,23/03/1997
86,54,Monthly,07/03/1993
88,31,Monthly,03/07/1996
89,68,Monthly,25/09/1997
90,1,Monthly,13/07/1994
91,17,Monthly,06/11/1996
93,2,Monthly,12/06/1996
95,1,Monthly,30/03/1995
96,68,Monthly,18/02/1993
97,74,Monthly,05/05/1996
98,55,Monthly,02/05/1997
99,1,Monthly,27/06/1995
100,41,Monthly,28/12/1993
101,35,Monthly,16/04/1996
102,11,Monthly,16/10/1993
103,44,Monthly,10/03/1996
104,37,Monthly,15/04/1993
105,21,Monthly,10/07/1997
106,63,Monthly,27/11/1994
107,64,Monthly,05/11/1993
108,53,Monthly,10/03/1995
109,53,Monthly,20/04/1997
110,36,Monthly,17/07/1996
112,6,Monthly,12/03/1993
113,55,Monthly,22/07/1996
114,60,Monthly,14/03/1997
115,68,Monthly,19/03/1993
116,8,Monthly,21/03/1996
117,31,Monthly,05/09/1993
118,68,Monthly,18/09/1997
119,27,Monthly,25/05/1993
120,65,Weekly,16/06/1995
121,55,Monthly,11/10/1997
122,31,Monthly,30/10/1996
123,21,Monthly,13/03/1993
124,55,Monthly,28/12/1997
125,2,"After Transaction",07/09/1996
126,5,Monthly,23/10/1993
127,29,Monthly,02/02/1994
128,2,Monthly,19/02/1993
129,74,Monthly,01/10/1997
130,54,Monthly,12/02/1997
131,52,Monthly,13/06/1995
132,40,"After Transaction",11/05/1996
133,64,Weekly,11/10/1997
134,34,Monthly,10/12/1997
135,75,Monthly,15/06/1993
136,74,Monthly,14/05/1996
137,70,Monthly,19/07/1996
138,22,Monthly,19/09/1995
139,38,Weekly,15/05/1997
140,24,Monthly,25/06/1996
141,38,Monthly,06/03/1996
142,51,Monthly,15/02/1993
143,21,Monthly,27/11/1996
